1. ERROR : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x1, 		addr = 0x0 (mask=0xffffffff)
2. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xc4 (mask=0xffffffff)
3. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xc8 (mask=0xffffffff)
4. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xcc (mask=0xffffffff)
5. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xd0 (mask=0xffffffff)
6. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xd4 (mask=0xffffffff)
7. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xd8 (mask=0xffffffff)
8. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xdc (mask=0xffffffff)
9. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xe0 (mask=0xffffffff)
10. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xe4 (mask=0xffffffff)
11. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xe8 (mask=0xffffffff)
12. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xec (mask=0xffffffff)
13. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xf0 (mask=0xffffffff)
14. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xf4 (mask=0xffffffff)
15. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xf8 (mask=0xffffffff)
16. correct : 	mem,	mem_asi = 0xa,	expected = 0x0,  		actual = 0x0, 		addr = 0xfc (mask=0xffffffff)
17. ERROR :	o1,	id = 9, 	expected = 0x0,  		actual = 0x8 (mask=0xffffffff) core,thread=0,0
